Consecutivo;;Cliente;Producto;PesoVenta;Sacos;Precio;Total
210;22/09/2015 17:03:13;96;1;2350;0;5664;13310400
211;22/09/2015 17:04:12;96;1;10830;0;5600;60648000
212;23/09/2015 07:25:20;96;1;4760;0;5600;26656000
213;23/09/2015 07:25:32;96;1;3529;0;5600;19762400
214;23/09/2015 07:26:15;96;1;881;0;5600;4933600
215;24/09/2015 07:38:38;592;9;15784;0;7500;118380000
216;25/09/2015 15:08:14;592;1;11955;0;5976;71443080
217;25/09/2015 15:08:38;592;1;13028;0;5976;77855328
218;27/09/2015 17:18:00;3521;1;11598;0;5720;66340560
219;27/09/2015 17:20:35;3521;1;5278;0;5760;30401280
220;27/09/2015 17:32:36;3521;1;12740;0;5760;73382400
221;28/09/2015 07:33:07;96;1;8402;0;5720;48059440
222;30/09/2015 14:12:40;4253;9;25;0;8500;212500
223;30/09/2015 08:57:45;592;1;13161;0;6044;79545090
224;30/09/2015 08:57:59;592;1;13960;0;6044;84374240
225;30/09/2015 08:59:27;592;1;13888;0;5758;79967100
226;01/10/2015 14:50:40;592;1;13137;0;5674;74539338
227;01/10/2015 14:50:59;592;1;13038;0;5674;73977612
228;01/10/2015 14:51:46;592;1;13662;0;5674;77518188
229;01/10/2015 14:53:02;592;1;13323;0;6034;80390982
230;01/10/2015 14:53:21;592;1;14771;0;6034;89128214
231;06/10/2015 09:28:32;96;1;8298;0;6000;49788000
232;06/10/2015 09:29:35;96;1;4262;0;6040;25742480
233;06/10/2015 09:30:59;96;1;13950;0;6040;84258000
234;06/10/2015 09:31:17;96;1;13600;0;6040;82144000
235;06/10/2015 09:32:25;96;1;14160;0;6040;85526400
236;06/10/2015 09:32:40;96;1;13060;0;6040;78882400
237;06/10/2015 09:33:04;96;1;12945;0;6040;78187800
238;06/10/2015 09:33:17;96;1;13800;0;6040;83352000
239;06/10/2015 09:34:02;96;1;14140;0;6040;85405600
240;06/10/2015 09:35:01;96;1;1982;0;5760;11416320
241;06/10/2015 09:35:30;96;1;1125;0;6000;6750000
242;06/10/2015 09:52:10;96;1;2949;0;6000;17694000
243;06/10/2015 09:52:23;96;1;3168;0;6000;19008000
244;06/10/2015 09:53:02;96;1;2743;0;6000;16458000
245;06/10/2015 09:53:42;96;1;2439;0;6000;14634000
246;06/10/2015 09:53:56;96;1;3684;0;6000;22104000
247;06/10/2015 09:54:12;96;1;3274;0;6000;19644000
248;06/10/2015 09:54:23;96;1;3662;0;6000;21972000
249;06/10/2015 09:54:38;96;1;3651;0;6000;21906000
250;06/10/2015 09:54:50;96;1;3666;0;6000;21996000
251;06/10/2015 09:55:03;96;1;5810;0;6000;34860000
